Time,Open,High,Low,Close,Volume
2023-09-26 12:00:00,144.3500,144.5000,144.3000,144.3150,35793
2023-09-26 11:55:00,144.5300,144.5400,144.3000,144.3600,49105
2023-09-26 11:50:00,144.4720,144.6000,144.4100,144.5300,31236
2023-09-26 11:45:00,144.5000,144.5700,144.3700,144.4700,36425
2023-09-26 11:40:00,144.5300,144.5700,144.3700,144.4950,44381
2023-09-26 11:35:00,144.6120,144.6120,144.5100,144.5750,48072
2023-09-26 11:30:00,144.4900,144.6230,144.4900,144.6230,44788
2023-09-26 11:25:00,144.6350,144.6600,144.4500,144.5000,41245
2023-09-26 11:20:00,144.6650,144.7200,144.5600,144.6310,134141
2023-09-26 11:15:00,144.6300,144.7300,144.6050,144.6300,37469
2023-09-26 11:10:00,144.8100,144.8200,144.5600,144.6350,56515
2023-09-26 11:05:00,145.0200,145.0200,144.7600,144.8020,41753
2023-09-26 11:00:00,145.0190,145.0960,144.9900,145.0350,24763
2023-09-26 10:55:00,145.0400,145.0550,144.8150,145.0040,67353
2023-09-26 10:50:00,145.1750,145.1800,145.0500,145.0600,32400
2023-09-26 10:45:00,145.4050,145.4200,145.1900,145.2000,30694
2023-09-26 10:40:00,145.1670,145.4120,145.1670,145.4120,31703
2023-09-26 10:35:00,145.1600,145.2600,145.1200,145.1800,27784
